Date,Open,High,Low,Close,Adj Close,Volume
2024-03-27,42.540001,43.830002,42.500000,43.770000,43.592937,51017800
2024-03-28,43.759998,44.599998,43.709999,44.169998,43.991318,54204200
2024-04-01,44.290001,45.410000,44.180000,44.520000,44.339905,31712600
2024-04-02,43.930000,44.080002,43.500000,43.939999,43.762249,32748400
2024-04-03,41.400002,41.650002,40.220001,40.330002,40.166855,83718000
2024-04-04,40.590000,40.779999,39.700001,39.730000,39.569279,57307200
2024-04-05,39.349998,39.459999,38.509998,38.709999,38.553406,67189100
2024-04-08,38.639999,38.860001,37.910000,37.980000,37.826359,56967800
2024-04-09,38.049999,38.580002,37.330002,38.330002,38.174946,78783000
2024-04-10,38.020000,38.220001,37.020000,37.200001,37.049515,51108400
2024-04-11,37.430000,37.669998,37.080002,37.630001,37.477776,41909100
2024-04-12,36.689999,36.700001,35.599998,35.689999,35.545620,80139400
2024-04-15,36.040001,36.700001,35.889999,36.310001,36.163116,50751600
2024-04-16,36.270000,36.509998,35.759998,36.259998,36.113316,30607500
2024-04-17,36.099998,36.130001,35.369999,35.680000,35.535664,41173300
2024-04-18,35.419998,35.660000,34.770000,35.040001,34.898254,42334400
2024-04-19,35.130001,35.130001,34.180000,34.200001,34.061653,58968800
2024-04-22,34.419998,34.570000,34.080002,34.410000,34.270802,39909900
2024-04-23,34.340000,34.599998,34.180000,34.279999,34.141327,46834000
2024-04-24,34.860001,35.180000,34.340000,34.500000,34.360435,53261100
2024-04-25,34.560001,35.299999,34.500000,35.110001,34.967968,66549400
2024-04-26,31.780001,32.240002,30.639999,31.879999,31.751036,119742500
2024-04-29,31.860001,31.910000,31.070000,31.360001,31.233139,58533300
2024-04-30,31.040001,31.180000,30.420000,30.469999,30.346739,72346400
2024-05-01,30.170000,31.040001,30.020000,30.370001,30.247145,60654800
2024-05-02,30.590000,30.670000,30.190001,30.510000,30.386578,50899400
2024-05-03,30.980000,31.059999,30.700001,30.900000,30.775000,36794800
2024-05-06,31.120001,31.200001,30.730000,30.969999,30.969999,36185600
2024-05-07,31.090000,31.450001,30.610001,30.680000,30.680000,44683400
2024-05-08,30.000000,30.150000,29.730000,30.000000,30.000000,63734600
2024-05-09,29.930000,30.389999,29.809999,30.090000,30.090000,45003400
2024-05-10,30.330000,30.459999,29.840000,29.850000,29.850000,42931300
2024-05-13,30.030001,31.129999,30.000000,30.510000,30.510000,51459100
2024-05-14,30.620001,31.110001,30.610001,31.049999,31.049999,47759900
2024-05-15,31.379999,31.400000,30.809999,31.270000,31.270000,36992900
2024-05-16,31.629999,32.259998,31.520000,32.029999,32.029999,47752800
2024-05-17,32.060001,32.110001,31.590000,31.830000,31.830000,41449800
2024-05-20,31.850000,32.419998,31.760000,32.099998,32.099998,31989000
2024-05-21,31.980000,32.240002,31.620001,31.740000,31.740000,42975400
2024-05-22,31.910000,32.070000,31.100000,31.420000,31.420000,36706400
2024-05-23,31.450001,31.570000,29.870001,30.080000,30.080000,62014500
2024-05-24,30.290001,31.020000,30.129999,30.719999,30.719999,42408200
2024-05-28,30.940001,31.370001,30.660000,31.059999,31.059999,36799100
2024-05-29,30.469999,30.670000,30.110001,30.129999,30.129999,35848600
2024-05-30,30.209999,30.500000,30.059999,30.190001,30.190001,33382800
2024-05-31,30.219999,30.959999,29.940001,30.850000,30.850000,95797500
2024-06-03,31.030001,31.070000,30.049999,30.290001,30.290001,35544900
2024-06-04,30.750000,30.750000,29.940001,30.030001,30.030001,51027200
2024-06-05,30.270000,30.840000,30.010000,30.780001,30.780001,44161700
2024-06-06,30.549999,30.590000,30.160000,30.420000,30.420000,34248100
2024-06-07,30.250000,30.780001,30.209999,30.740000,30.740000,34085500
2024-06-10,30.549999,30.950001,30.290001,30.910000,30.910000,37445800
2024-06-11,30.770000,31.030001,30.530001,30.920000,30.920000,25326900
2024-06-12,31.459999,31.480000,30.389999,30.760000,30.760000,51323900
2024-06-13,30.379999,30.580000,30.139999,30.459999,30.459999,33787200
2024-06-14,30.290001,30.559999,30.209999,30.450001,30.450001,28125900
2024-06-17,30.340000,31.000000,30.180000,30.980000,30.980000,36235300
2024-06-18,30.990000,31.469999,30.500000,30.629999,30.629999,33294700
2024-06-20,30.559999,31.110001,30.450001,30.620001,30.620001,43826300
2024-06-21,30.850000,31.360001,30.670000,31.090000,31.090000,92549000
2024-06-24,31.139999,31.420000,30.530001,30.570000,30.570000,40611800
2024-06-25,30.700001,30.830000,30.290001,30.740000,30.740000,29498600
2024-06-26,30.639999,30.680000,30.270000,30.540001,30.540001,30743000
2024-06-27,30.420000,30.660000,30.290001,30.590000,30.590000,30184300
2024-06-28,30.750000,31.309999,30.719999,30.969999,30.969999,41467700
2024-07-01,30.910000,31.020000,30.610001,30.840000,30.840000,32401800
2024-07-02,30.860001,31.309999,30.590000,31.070000,31.070000,35999300
2024-07-03,31.120001,31.340000,30.910000,31.230000,31.230000,24065700
2024-07-05,31.400000,32.340000,31.309999,32.020000,32.020000,45309400
2024-07-08,33.029999,34.090000,32.820000,33.990002,33.990002,82315900
